id,name,zone,address,nearest_metro,latitude,longitude,category,crowd_level,description,source
kolkata-0147,Salt Lake CK-CL Block,Salt Lake,"CK-CL Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: CK-CL Block, Bidhannagar",PujoKolkata 2026
kolkata-0148,Salt Lake DA Block,Salt Lake,"DA Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: DA Block, Bidhannagar",PujoKolkata 2026
kolkata-0149,Salt Lake DB Block,Salt Lake,"DB Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: DB Block, Bidhannagar",PujoKolkata 2026
kolkata-0150,Salt Lake DL Block,Salt Lake,"DL Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: DL Block, Bidhannagar",PujoKolkata 2026
kolkata-0151,Salt Lake EC Market,Salt Lake,"EC Market, Salt Lake",,,,Community Puja,,"Community Puja in Salt Lake. Address: EC Market, Salt Lake",PujoKolkata 2026
kolkata-0152,Salt Lake EE Block,Salt Lake,"EE Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: EE Block, Bidhannagar",PujoKolkata 2026
kolkata-0153,Salt Lake FC Block,Salt Lake,"FC Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: FC Block, Bidhannagar",PujoKolkata 2026
kolkata-0154,Salt Lake FD Block,Salt Lake,"FD Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: FD Block, Bidhannagar",PujoKolkata 2026
kolkata-0155,Salt Lake FE Block,Salt Lake,"FE Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: FE Block, Bidhannagar",PujoKolkata 2026
kolkata-0156,Salt Lake GC Block,Salt Lake,"GC Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: GC Block, Bidhannagar",PujoKolkata 2026
kolkata-0157,Salt Lake GD Block,Salt Lake,"GD Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: GD Block, Bidhannagar",PujoKolkata 2026
kolkata-0158,Salt Lake HA Block,Salt Lake,"HA Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: HA Block, Bidhannagar",PujoKolkata 2026
kolkata-0159,Salt Lake HB Block,Salt Lake,"HB Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: HB Block, Bidhannagar",PujoKolkata 2026
kolkata-0160,Salt Lake IA Block,Salt Lake,"IA Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: IA Block, Bidhannagar",PujoKolkata 2026
kolkata-0161,Salt Lake IB Block,Salt Lake,"IB Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: IB Block, Bidhannagar",PujoKolkata 2026
kolkata-0162,Salt Lake JC Block,Salt Lake,"JC Block, Bidhannagar",,,,Community Puja,,"Community Puja in Salt Lake. Address: JC Block, Bidhannagar",PujoKolkata 2026
kolkata-0163,Salt Lake Laboni,Salt Lake,"Laboni, Salt Lake",,,,Community Puja,,"Community Puja in Salt Lake. Address: Laboni, Salt Lake",PujoKolkata 2026
kolkata-0164,New Town Sarbojanin (BG Block),Salt Lake/New Town,"BG Block, Action Area 1, New Town",Salt Lake Sector-V,,,Community Puja,,"Community Puja in Salt Lake/New Town. Address: BG Block, Action Area 1, New Town",Dugga Elo 2026
kolkata-0165,Bagbazar Sarbojanin Durgotsav,North Kolkata,"Bagbazar Launch Ghat area, North Kolkata",Shobhabazar–Sutanuti,,,Heritage / Traditional,,"Heritage / Traditional in North Kolkata. Address: Bagbazar Launch Ghat area, North Kolkata",Legacy user dataset — verify before publishing
kolkata-0166,College Square Sarbojonin Durgotsab,North/Central Kolkata,"College Square, near College Street, Kolkata",Central (Gate 6),,,Heritage / Theme-based,,"Heritage / Theme-based in North/Central Kolkata. Address: College Square, near College Street, Kolkata",Legacy user dataset — verify before publishing
kolkata-0167,Jagat Mukherjee Park,North Kolkata,,Shobhabazar,,,Heritage / Theme-based,,Heritage / Theme-based in North Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0168,Hatibagan Sarbojanin,North Kolkata,,Shobhabazar,,,Theme-based,,Theme-based in North Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0169,Ahiritola Sarbojanin,North Kolkata,,,,,Heritage,,Heritage in North Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0170,Kankurgachi Yubak Brinda,North/East Kolkata,"P-244, CIT Road, Scheme VI M, Kankurgachi, Kolkata 700054",,,,Theme-based,,"Theme-based in North/East Kolkata. Address: P-244, CIT Road, Scheme VI M, Kankurgachi, Kolkata 700054",Legacy user dataset — verify before publishing
kolkata-0171,Bagmari Sarbojanin Durgotsav Committee,North Kolkata,"56A, Bagmari Lane, near Maniktala Crossing, Kolkata 700054",,,,Theme-based,,"Theme-based in North Kolkata. Address: 56A, Bagmari Lane, near Maniktala Crossing, Kolkata 700054",Legacy user dataset — verify before publishing
kolkata-0172,Telengabagan Sarbojanin,North Kolkata,,Ultadanga,,,Theme-based,,Theme-based in North Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0173,Lake Town Adhibasi Brinda,North Kolkata,"Block A, Lake Town, Kolkata 700089",,,,Heritage / Theme-based,,"Heritage / Theme-based in North Kolkata. Address: Block A, Lake Town, Kolkata 700089",Legacy user dataset — verify before publishing
kolkata-0174,Dum Dum Park Tarun Sangha,North Kolkata,"Tank No. 2, Dum Dum Park, South Dum Dum, Kolkata 700055",Dum Dum / Belgachia,,,Theme-based,,"Theme-based in North Kolkata. Address: Tank No. 2, Dum Dum Park, South Dum Dum, Kolkata 700055",Legacy user dataset — verify before publishing
kolkata-0175,Santosh Mitra Square (Lebutala),Central Kolkata,"B.B. Ganguly Street, Sealdah, Kolkata 700012",Sealdah,,,Theme-based (large-scale),,"Theme-based (large-scale) in Central Kolkata. Address: B.B. Ganguly Street, Sealdah, Kolkata 700012",Legacy user dataset — verify before publishing
kolkata-0176,Mohammad Ali Park,Central Kolkata,,,,,Theme-based,,Theme-based in Central Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0177,Subodh Mallick Square,Central Kolkata,,,,,Cultural,,Cultural in Central Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0178,"Taltala Sarbojanin (Pally Mangal Samity, Taltala Ground)",Central Kolkata,,,,,Community,,Community in Central Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0179,Sikdar Bagan Sadharan Durga Puja,Central/North Kolkata,,,,,Heritage,,Heritage in Central/North Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0180,Ekdalia Evergreen Club,South Kolkata,,Gariahat,,,Theme-based (heritage club),,Theme-based (heritage club) in South Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0181,Singhi Park,South Kolkata,,,,,Theme-based,,Theme-based in South Kolkata. Address: nan,Legacy user dataset — verify before publishing
kolkata-0182,Sovabazar Barowari Durgotsab,North Kolkata,"67/49, Raja Nabakrishna Street, Sovabazar, Kolkata 700005",Shobhabazar–Sutanuti,,,Heritage / Traditional,,"Heritage / Traditional in North Kolkata. Address: 67/49, Raja Nabakrishna Street, Sovabazar, Kolkata 700005",Legacy user dataset — verify before publishing
kolkata-0183,Simla Byayam Samity,North Kolkata,"2/2, Balaram Ghosh Street, Kolkata 700004",Shobhabazar,,,Heritage / Traditional,,"Heritage / Traditional in North Kolkata. Address: 2/2, Balaram Ghosh Street, Kolkata 700004",Legacy user dataset — verify before publishing
kolkata-0184,Mohammad Ali Park Durga Puja,Central Kolkata,"Mahatma Gandhi Road, Kolkata 700006",Girish Park,,,Theme-based,,"Theme-based in Central Kolkata. Address: Mahatma Gandhi Road, Kolkata 700006",Legacy user dataset — verify before publishing
kolkata-0185,Manicktala Chaltabagan Lohapatty,North/Central Kolkata,"Chaltabagan / Maniktala, Kolkata 700006",Girish Park,,,Theme-based,,"Theme-based in North/Central Kolkata. Address: Chaltabagan / Maniktala, Kolkata 700006",Legacy user dataset — verify before publishing
kolkata-0186,Nalin Sarkar Street Sarbojanin,North Kolkata,"48B, Nalin Sarkar Street, Kolkata 700004",Shyambazar,,,Theme-based,,"Theme-based in North Kolkata. Address: 48B, Nalin Sarkar Street, Kolkata 700004",Legacy user dataset — verify before publishing
kolkata-0187,Hatibagan Nabin Pally,North Kolkata,"Hatibagan Nabin Pally, Kolkata 700004",Shyambazar,,,Theme-based,,"Theme-based in North Kolkata. Address: Hatibagan Nabin Pally, Kolkata 700004",Legacy user dataset — verify before publishing
kolkata-0188,Sikdar Bagan Sadharan Durga Puja,North Kolkata,"Sikdar Bagan, Kolkata 700006",Shobhabazar,,,Theme-based,,"Theme-based in North Kolkata. Address: Sikdar Bagan, Kolkata 700006",Legacy user dataset — verify before publishing
kolkata-0189,Tala Barowari,North Kolkata,"Tala Park / Tala, Kolkata",Shobhabazar,,,Heritage / Traditional,,"Heritage / Traditional in North Kolkata. Address: Tala Park / Tala, Kolkata",Legacy user dataset — verify before publishing
kolkata-0190,Dum Dum Park Tarun Dal,North/East Kolkata,"Dum Dum Park, Kolkata 700055",Dum Dum,,,Theme-based,,"Theme-based in North/East Kolkata. Address: Dum Dum Park, Kolkata 700055",Legacy user dataset — verify before publishing
kolkata-0191,Belgachia Sarbojanin,North Kolkata,"Belgachia, Kolkata",Belgachia,,,Theme-based,,"Theme-based in North Kolkata. Address: Belgachia, Kolkata",Legacy user dataset — verify before publishing
kolkata-0192,Ultadanga Pallyshree,North/East Kolkata,"17/18 Jaharlal Dutta Lane, Muchibazar, Ultadanga, Kolkata 700067",Belgachia,,,Traditional / Community Favorite,,"Traditional / Community Favorite in North/East Kolkata. Address: 17/18 Jaharlal Dutta Lane, Muchibazar, Ultadanga, Kolkata 700067",Legacy user dataset — verify before publishing
kolkata-0193,Kankurgachi Yubak Brinda,East Kolkata,"P-244, CIT Road, Scheme VI M, Kankurgachi, Kolkata 700054",Phoolbagan,,,Theme-based,,"Theme-based in East Kolkata. Address: P-244, CIT Road, Scheme VI M, Kankurgachi, Kolkata 700054",Legacy user dataset — verify before publishing
kolkata-0194,Beleghata Sarbojanin Durga Puja Committee,East Kolkata,"5 Dr Asutosh Sastri Road, Phoolbagan, Kolkata 700010",Phoolbagan,,,Traditional / Community Favorite,,"Traditional / Community Favorite in East Kolkata. Address: 5 Dr Asutosh Sastri Road, Phoolbagan, Kolkata 700010",Legacy user dataset — verify before publishing
kolkata-0195,Beliaghata 33 Palli,Central/East Kolkata,"Beliaghata, Kolkata",Phoolbagan,,,Theme-based,,"Theme-based in Central/East Kolkata. Address: Beliaghata, Kolkata",Legacy user dataset — verify before publishing
kolkata-0196,College Square Sarbojonin Durgotsab,Central Kolkata,"35, College Street, Kolkata 700073",Central,,,Heritage / Theme-based,,"Heritage / Theme-based in Central Kolkata. Address: 35, College Street, Kolkata 700073",Legacy user dataset — verify before publishing
kolkata-0197,Ballygunge Cultural Association,South Kolkata,"Gariahat Road, Ballygunge, Kolkata",Ballygunge,,,Theme-based,,"Theme-based in South Kolkata. Address: Gariahat Road, Ballygunge, Kolkata",Legacy user dataset — verify before publishing
kolkata-0198,Shib Mandir,South Kolkata,"1, Lake Temple Road, Kolkata 700029",Rabindra Sarobar,,,Theme-based,,"Theme-based in South Kolkata. Address: 1, Lake Temple Road, Kolkata 700029",Legacy user dataset — verify before publishing
kolkata-0199,Chetla Agrani Club,South/West Kolkata,"Chetla, Kolkata 700027",Jatin Das Park,,,Theme-based,,"Theme-based in South/West Kolkata. Address: Chetla, Kolkata 700027",Legacy user dataset — verify before publishing
kolkata-0200,Chetla Agrani Sarbojanin,South/West Kolkata,"Chetla, Kolkata",Jatin Das Park,,,Theme-based,,"Theme-based in South/West Kolkata. Address: Chetla, Kolkata",Legacy user dataset — verify before publishing
kolkata-0201,Rajdanga Naba Uday Sangha,South/East Kolkata,"Rajdanga, Kolkata",Ruby,,,Theme-based,,"Theme-based in South/East Kolkata. Address: Rajdanga, Kolkata",Legacy user dataset — verify before publishing
kolkata-0202,95 Pally,South Kolkata,"95 Pally, Kolkata",Rabindra Sarobar,,,Theme-based,,"Theme-based in South Kolkata. Address: 95 Pally, Kolkata",Legacy user dataset — verify before publishing
kolkata-0203,Hindusthan Park Sarbojanin,South Kolkata,"Hindustan Park, Kolkata 700029",Kalighat,,,Theme-based,,"Theme-based in South Kolkata. Address: Hindustan Park, Kolkata 700029",Legacy user dataset — verify before publishing
kolkata-0204,Alipore Sarbojanin,South/West Kolkata,"Alipore, Kolkata 700027",Jatin Das Park,,,Traditional / Theme-based,,"Traditional / Theme-based in South/West Kolkata. Address: Alipore, Kolkata 700027",Legacy user dataset — verify before publishing
kolkata-0205,Barisha Club,South/West Kolkata,"Barisha, Kolkata 700008",Behala Bazar,,,Theme-based,,"Theme-based in South/West Kolkata. Address: Barisha, Kolkata 700008",Legacy user dataset — verify before publishing
kolkata-0206,Behala Nutan Dal,South/West Kolkata,"Behala, Kolkata",Behala Bazar,,,Theme-based,,"Theme-based in South/West Kolkata. Address: Behala, Kolkata",Legacy user dataset — verify before publishing
kolkata-0207,Behala 29 Palli,South/West Kolkata,"19, S N Roy Road, Kolkata 700038",Taratala,,,Heritage / Theme-based,,"Heritage / Theme-based in South/West Kolkata. Address: 19, S N Roy Road, Kolkata 700038",Legacy user dataset — verify before publishing
kolkata-0208,New Town Sarbojanin,New Town/Rajarhat,"New Town, Kolkata",Salt Lake Sector V,,,Theme-based,,"Theme-based in New Town/Rajarhat. Address: New Town, Kolkata",Legacy user dataset — verify before publishing
kolkata-0209,AK Block Salt Lake,Salt Lake,"AK Block, Salt Lake, Kolkata 700091",Salt Lake Sector I,,,Theme-based,,"Theme-based in Salt Lake. Address: AK Block, Salt Lake, Kolkata 700091",Legacy user dataset — verify before publishing
kolkata-0210,Uddipani (Park Circus Sarbojanin Durgotsab),South/East Kolkata,"Park Circus, Kolkata",Park Circus,,,Theme-based / Award Winner,,"Theme-based / Award Winner in South/East Kolkata. Address: Park Circus, Kolkata",Legacy user dataset — verify before publishing
kolkata-0211,64 Pally Durgotsav Committee,South Kolkata,"28C, Satish Mukherjee Road, Kolkata 700026",Jatin Das Park,,,Theme-based / Traditional,,"Theme-based / Traditional in South Kolkata. Address: 28C, Satish Mukherjee Road, Kolkata 700026",Legacy user dataset — verify before publishing
